Nombre,apellido,DNI,email personal,telＧono de contacto,CVU/CBU,Inquilino
PATRICIA A,SANDOVAL,23235955,SANDOVAL_PATRICIA A @email.com,1120639588,"3,62255E+21",1
Mariela,NANIN,23247521,NANIN_ Mariela@email.com,1120639590,"8,89916E+21",1
OSNAGHI ANDREA,LORENA,23273814,LORENA_OSNAGHI ANDREA@email.com,1120639674,"6,79302E+21",1
ALEJANDRA,PAULETTE,23285089,PAULETTE_ ALEJANDRA@email.com,1120639615,"4,53257E+21",0
LUCIANA VANESA,FERNANDEZ LOPEZ,23303828,FERNANDEZ LOPEZ_LUCIANA VANESA @email.com,1120639675,"8,46684E+21",1
JAIME DANIEL,MORENO,23332976,MORENO_JAIME DANIEL @email.com,1120639625,"8,67275E+21",0
Santiago,Latrecchiana,23342410,Latrecchiana_Santiago@email.com,1120639606,"2,28114E+21",1
PAMELA GABRIELA,MINO,23342938,MINO_PAMELA GABRIELA@email.com,1120639649,"3,15482E+21",1
SILVIO IVAN,MENES,23348199,MENES_SILVIO IVAN@email.com,1120639594,"9,06482E+21",1
ALEJANDRA GABRIELA,SALEMME,23355360,SALEMME_ALEJANDRA GABRIELA @email.com,1120639650,"2,04784E+21",1
SAMANTA L,GARCIA,23381679,GARCIA_ SAMANTA L@email.com,1120639564,"1,5294E+21",0
FLAVIA MIRIAM,GIRA,24245586,GIRA_FLAVIA MIRIAM@email.com,1120639651,"5,73854E+21",0
PAMELA E CARABAJAL,GONZALEZ,24306777,GONZALEZ_PAMELA E CARABAJAL@email.com,1120639652,"8,91381E+21",0
GRACIELA JUDITH,SANCHEZ,24369028,SANCHEZ_GRACIELA JUDITH @email.com,1120639653,"5,46835E+21",0
SILVIA VIVIANA,CARNERO,27169626,CARNERO_ SILVIA VIVIANA@email.com,1120639561,"8,5529E+21",0
ZURITA GLORIA R,SANCHEZ,27190262,SANCHEZ_ZURITA GLORIA R@email.com,1120639654,"2,12987E+21",1
GLADYS BEATRIZ,PIZARRO,27229378,PIZARRO_GLADYS BEATRIZ @email.com,1120639676,"9,91871E+21",1
CARLA ELIANA,BRAVO,27249769,BRAVO_CARLA ELIANA @email.com,1120639677,"2,5671E+21",0
EMILSE VIRGINIA,ACHEGA,27250604,ACHEGA_ EMILSE VIRGINIA@email.com,1120639580,"3,5424E+21",0
ARACELLI MARIA A,MERCADO,27256384,MERCADO_ARACELLI MARIA A @email.com,1120639618,"8,40166E+21",1
MALENA VIVIANA,ARIAS,27258698,ARIAS_MALENA VIVIANA@email.com,1120639678,"5,12066E+21",1
ELIANA SOLEDAD,DIAZ,27270489,DIAZ_ELIANA SOLEDAD @email.com,1120639655,"3,35499E+21",1
MARIA EVA,FERREYRA,27273981,FERREYRA_MARIA EVA @email.com,1120639656,"4,98543E+21",0
Mar｡a Lorena,Ojeda,2728028,Ojeda_Mar｡a Lorena @email.com,1120639657,"5,93018E+21",0
VIRGINIA SOLEDAD,RODRIGUEZ,27287772,RODRIGUEZ_VIRGINIA SOLEDAD@email.com,1120639572,"5,7825E+21",0
MARIANA SABRINA,PEREZ,27294701,PEREZ_ MARIANA SABRINA@email.com,1120639581,"4,73859E+21",0
PATRICIA NATALIA,TRINIDAD,27296824,TRINIDAD_PATRICIA NATALIA@email.com,1120639658,"5,10398E+21",0
MARIA ESTER,ACU･A,27297039,ACU･A_ MARIA ESTER@email.com,1120639612,"9,74893E+21",0
JESICA PAOLA,FERREYRA,27297895,FERREYRA_ JESICA PAOLA@email.com,1120639567,"3,25384E+21",0
SILVINA FERNANDA,YEGROS,27297917,YEGROS_SILVINA FERNANDA@email.com,1120639659,"5,46569E+21",1
RUTH ELIZABETH,TOLOZA,27298715,TOLOZA_RUTH ELIZABETH @email.com,1120639626,"3,56917E+21",1
SALINAS CARMEN,SOLEDAD,27304941,SOLEDAD_SALINAS CARMEN@email.com,1120639660,"4,46216E+21",1
SOLANGE B,GONZALEZ,27310492,GONZALEZ_SOLANGE B@email.com,1120639630,"2,64547E+21",1
JULIANA VANESA,MAIDANA,27313444,MAIDANA_ JULIANA VANESA@email.com,1120639566,"7,16819E+21",1
JOSEFINA,SUAREZ,27317797,SUAREZJOSEF_INA@email.com,1120639571,"8,14904E+21",1
NATALIA VERONICA,LOPEZ,27318315,LOPEZ_NATALIA VERONICA@email.com,1120639679,"8,77612E+21",0
ROSALIA ANAHI,ALEGRE,27318830,ALEGRE_ROSALIA ANAHI@email.com,1120639631,"8,95676E+21",0
ANABELA E,SARDA,27331765,SARDA_ANABELA E@email.com,1120639570,"1,68669E+21",0
LEILA,CHEQUIN,27335511,CHEQUIN_LEILA @email.com,1120639661,"5,98657E+21",0
XOANA DENISA,LUNA,27337266,LUNA_ XOANA DENISA@email.com,1120639582,"4,73909E+21",1
SONIA GLADYS,TARCAYA,27339015,TARCAYA_SONIA GLADYS@email.com,1120639609,"5,51303E+21",0
DAMARIS ELIANA,ZURRIAN,27341024,ZURRIAN_ DAMARIS ELIANA@email.com,1120639585,"1,11219E+21",1
NATALIA VANESA,CORIA,27342936,CORIA_NATALIA VANESA@email.com,1120639662,"4,20734E+21",0
PAMELA D,MACIEL,27343695,MACIEL_PAMELA D@email.com,1120639663,"9,30191E+21",1
MICAELA S,MORALES,27344635,MORALES_MICAELA S@email.com,1120639607,"9,79877E+21",0
Gisele,Armani,27344811,Armani_Gisele@email.com,1120639664,"7,13851E+21",1
MARIA FERNANDA,VILLEGAS,27349223,VILLEGAS_MARIA FERNANDA@email.com,1120639665,"3,96704E+21",1
VANINA SOLEDAD,ACU･A,27350782,ACU･A_ VANINA SOLEDAD@email.com,1120639586,"6,06251E+21",1
deborah yanina,vieyra,27352961,vieyra_deborah yanina@email.com,1120639666,"7,34096E+21",1
MARA LUCILA,PRUNESTI,27353783,PRUNESTI_MARA LUCILA @email.com,1120639667,"4,20362E+21",1
MARIANA G,GAUNA,27354663,GAUNA_MARIANA G@email.com,1120639668,"7,86347E+21",1
ESTEFANIA DEL,POZO,27355371,POZO_ESTEFANIA DEL@email.com,1120639669,"3,90358E+21",0
ARACELI A,SALINA,27366061,SALINA_ARACELI A@email.com,1120639680,"4,56178E+21",1
MARGARITA SOLEDAD,SANDOVAL,27368014,SANDOVAL_MARGARITA SOLEDAD@email.com,1120639599,"4,75698E+21",1
EVELYN CYNTHIA,ALONSO,27375516,ALONSO_EVELYN CYNTHIA @email.com,1120639589,"2,699E+21",1
SABRINA J,RODRIGUEZ,27376670,RODRIGUEZ_ SABRINA J@email.com,1120639610,"4,92178E+21",1
KAREN SOLEDAD,POTES,27383031,POTES_ KAREN SOLEDAD@email.com,1120639578,"9,95987E+21",0
SOFIA ABRIL,BUSTOS RODRIGUEZ,27384453,BUSTOS RODRIGUEZ_ SOFIA ABRIL@email.com,1120639583,"8,44567E+21",0
MARIA B,ESQUIVEL,27388593,ESQUIVEL_MARIA B@email.com,1120639632,"2,47672E+21",0
GISELLE A,GALELLI,27406750,GALELLI_GISELLE A@email.com,1120639596,"9,39122E+21",1
DAIANA A,SANDOVAL,27416930,SANDOVAL_DAIANA A@email.com,1120639597,"9,48578E+21",1
MELINA ROCIO,LUCERO,27483727,LUCERO_ MELINA ROCIO@email.com,1120639614,"7,46343E+21",1
JARA C P,DELGADO,27936230,DELGADO_JARA C P@email.com,1120639598,"7,95204E+21",0
DIANA VICTORIA ARCILA,MARTINEZ,27954399,MARTINEZ_DIANA VICTORIA ARCILA@email.com,1120639608,"7,9007E+21",0
FAUSTO,MALDONADO,29183052,MALDONADO_FAUSTO @email.com,1120639635,"5,44431E+21",0
CUBILLA FERNANDO J,MEDINA,29190170,MEDINA_CUBILLA FERNANDO J @email.com,1120639636,"4,00665E+21",0
CLAUDIO FABIAN,MACELLARI,29229436,MACELLARI_CLAUDIO FABIAN@email.com,1120639575,"6,75838E+21",0
GUSTAVO ALBERTO,BANEGAS,29229765,BANEGAS_GUSTAVO ALBERTO @email.com,1120639620,"5,97386E+21",0
FACUNDO N,ROSON,29246633,ROSON_ FACUNDO N@email.com,1120639611,"4,9195E+21",0
HECTOR DIEGO,RODRIGUEZ,29253969,RODRIGUEZ_HECTOR DIEGO @email.com,1120639621,"7,65726E+21",0
GASTON MIGUEL,LOPEZ,29256383,LOPEZ_GASTON MIGUEL@email.com,1120639622,"2,31441E+21",0
DIEGO GABRIEL,LAVIZZARI,29256472,LAVIZZARI_DIEGO GABRIEL @email.com,1120639637,"2,89875E+21",1
