Id de pago,fecha,CVU/CBU,Valor
10000,11/4/2025,"2,12987E+21",$112.950
10001,2/4/2025,"4,9195E+21",$125.434
10002,15/4/2025,"4,56178E+21",$185.157
10003,15/4/2025,"3,26675E+21",$84.326
10004,11/4/2025,"6,09749E+21",$142.748
10005,11/4/2025,"3,35499E+21",$184.281
10006,3/4/2025,"6,87188E+21",$97.307
10007,2/4/2025,"9,79877E+21",$120.926
10008,12/4/2025,"5,11731E+21",$76.239
10009,13/4/2025,"6,09749E+21",$105.576
10010,2/4/2025,"7,9534E+21",$139.730
10011,7/4/2025,"5,12066E+21",$115.897
10012,5/4/2025,"4,60919E+21",$162.901
10013,15/4/2025,"9,30191E+21",$95.757
10014,11/4/2025,"7,13851E+21",$188.225
10015,8/4/2025,"8,44567E+21",$62.847
10016,4/4/2025,"6,87188E+21",$199.060
10017,9/4/2025,"4,00665E+21",$122.979
10018,14/4/2025,"5,93018E+21",$174.975
10019,13/4/2025,"4,98543E+21",$171.635
10020,8/4/2025,"2,47672E+21",$108.919
10021,13/4/2025,"5,97386E+21",$108.315
10022,4/4/2025,"9,87305E+21",$166.476
10023,6/4/2025,"4,75698E+21",$139.624
10024,15/4/2025,"5,46835E+21",$175.760
10025,15/4/2025,"5,46835E+21",$164.264
10026,2/4/2025,"9,06482E+21",$91.916
10027,2/4/2025,"8,67275E+21",$124.206
10028,6/4/2025,"8,67136E+21",$181.768
10029,8/4/2025,"8,44567E+21",$141.736
10030,11/4/2025,"3,25384E+21",$161.232
10031,11/4/2025,"4,9195E+21",$151.477
10032,14/4/2025,"5,11731E+21",$166.315
10033,12/4/2025,"7,86347E+21",$107.948
10034,2/4/2025,"4,20362E+21",$59.196
10035,11/4/2025,"2,699E+21",$98.079
10036,13/4/2025,"4,05869E+21",$76.236
10037,5/4/2025,"4,64913E+21",$62.874
10038,14/4/2025,"4,05869E+21",$185.657
10039,13/4/2025,"6,75838E+21",$166.997
10040,3/4/2025,"8,94438E+21",$81.634
10041,15/4/2025,"9,09001E+21",$55.564
10042,13/4/2025,"8,5529E+21",$123.722
10043,11/4/2025,"2,28114E+21",$187.309
10044,10/4/2025,"9,79877E+21",$197.279
10045,11/4/2025,"4,98543E+21",$95.601
10046,12/4/2025,"7,15249E+21",$167.568
10047,5/4/2025,"8,55574E+21",$191.689
10048,10/4/2025,"5,10398E+21",$53.613
